NotaProficienciaGramatical,NotaCompreensaoOral,NotaConversacao,PerfilAluno
6.4,0.3,2.8,Iniciante
2.2,7.4,6.8,Iniciante
8.9,0.9,4.2,Iniciante
0.3,2.2,5.1,Iniciante
0.3,2.0,6.5,Iniciante
5.4,2.2,5.9,Iniciante
8.1,0.1,8.1,Iniciante
7.0,3.4,1.6,Iniciante
9.6,3.4,0.9,Iniciante
1.0,8.5,6.0,Iniciante
8.1,7.3,5.4,Intermediario
9.7,3.8,5.5,Iniciante
8.3,6.2,8.6,Intermediario
5.8,7.0,0.5,Iniciante
2.3,2.9,0.8,Iniciante
2.3,1.0,2.8,Iniciante
6.4,3.6,3.7,Iniciante
2.1,2.7,9.4,Iniciante
6.5,6.1,1.7,Iniciante
7.3,1.6,3.8,Iniciante
9.9,6.4,5.6,Intermediario
6.8,8.4,7.8,Intermediario
2.3,0.3,3.2,Iniciante
2.7,2.1,9.4,Iniciante
8.8,3.1,6.6,Iniciante
4.0,9.1,4.6,Iniciante
2.6,2.5,5.6,Iniciante
2.6,5.8,9.0,Iniciante
4.0,2.2,10.0,Iniciante
5.1,0.9,0.5,Iniciante
1.1,6.3,7.9,Iniciante
4.2,0.6,3.8,Iniciante
10.0,5.3,9.7,Intermediario
8.6,0.1,7.2,Iniciante
6.8,5.4,2.7,Iniciante
6.4,1.1,4.3,Iniciante
4.5,9.5,8.8,Iniciante
2.6,5.0,1.8,Iniciante
9.1,8.7,3.0,Iniciante
6.4,6.1,1.5,Iniciante
7.6,5.4,7.8,Intermediario
5.3,0.0,3.2,Iniciante
0.2,9.3,8.8,Iniciante
8.3,3.1,0.6,Iniciante
8.8,9.5,0.9,Iniciante
4.9,0.7,7.6,Iniciante
7.7,1.3,4.8,Iniciante
5.5,2.7,8.7,Iniciante
4.2,2.1,5.4,Iniciante
7.3,2.0,3.1,Iniciante
10.0,6.5,4.4,Iniciante
5.2,1.2,2.2,Iniciante
3.4,5.9,2.3,Iniciante
2.2,0.7,6.3,Iniciante
2.3,9.1,8.6,Iniciante
0.7,2.4,6.7,Iniciante
2.1,1.3,9.4,Iniciante
5.7,4.7,7.8,Iniciante
8.1,1.9,1.0,Iniciante
4.3,4.2,4.7,Iniciante
7.3,6.7,9.8,Intermediario
1.0,4.0,3.4,Iniciante
8.6,2.5,1.9,Iniciante
4.5,4.2,2.8,Iniciante
2.5,9.2,4.4,Iniciante
8.6,5.5,0.5,Iniciante
10.0,8.4,9.7,Avancado
9.3,8.5,1.7,Iniciante
4.9,2.1,4.0,Iniciante
0.6,3.8,9.9,Iniciante
2.7,7.8,4.6,Iniciante
4.2,9.6,10.0,Iniciante
5.6,7.2,1.5,Iniciante
3.0,9.7,5.8,Iniciante
5.4,7.5,0.6,Iniciante
5.8,5.0,8.5,Intermediario
1.6,9.6,0.8,Iniciante
1.9,6.0,6.8,Iniciante
2.4,1.2,8.9,Iniciante
2.5,5.9,6.2,Iniciante
4.2,5.8,5.2,Iniciante
9.3,2.0,7.2,Iniciante
2.4,4.0,6.7,Iniciante
3.0,3.2,7.5,Iniciante
0.7,4.6,10.0,Iniciante
10.0,0.7,2.1,Iniciante
2.7,9.3,8.8,Iniciante
8.8,3.7,1.6,Iniciante
8.3,7.0,6.1,Intermediario
9.9,6.5,0.1,Iniciante
8.2,3.0,6.6,Iniciante
9.4,1.3,1.2,Iniciante
1.1,5.5,2.7,Iniciante
6.0,7.2,2.0,Iniciante
6.3,2.6,4.9,Iniciante
9.1,8.5,0.9,Iniciante
4.2,2.8,0.0,Iniciante
7.7,6.4,2.6,Iniciante
7.4,5.5,4.3,Iniciante
0.1,0.8,8.8,Iniciante
9.0,5.5,8.3,Intermediario
5.8,1.5,1.3,Iniciante
3.1,9.0,8.0,Iniciante
8.6,9.0,2.1,Iniciante
2.5,1.0,7.8,Iniciante
8.8,4.1,6.2,Iniciante
1.5,9.3,8.6,Iniciante
9.8,8.1,8.8,Avancado
0.2,7.4,3.3,Iniciante
9.3,8.0,8.6,Avancado
8.1,2.7,7.9,Iniciante
1.1,8.7,8.6,Iniciante
2.2,8.2,4.6,Iniciante
3.1,8.0,2.3,Iniciante
0.2,1.9,3.3,Iniciante
8.6,9.7,2.8,Iniciante
6.4,4.0,9.8,Iniciante
5.4,9.4,1.2,Iniciante
9.7,1.8,9.6,Iniciante
2.7,1.1,4.3,Iniciante
7.3,3.1,6.1,Iniciante
5.1,3.9,5.8,Iniciante
2.5,7.1,0.0,Iniciante
9.3,5.4,7.2,Intermediario
7.4,6.7,3.6,Iniciante
0.7,6.6,3.3,Iniciante
3.1,8.5,7.2,Iniciante
3.0,3.1,4.1,Iniciante
4.0,3.0,1.3,Iniciante
4.2,9.4,6.8,Iniciante
9.0,6.2,3.0,Iniciante
5.5,0.0,2.9,Iniciante
4.3,5.8,6.5,Iniciante
4.6,4.4,2.1,Iniciante
4.7,9.0,8.0,Iniciante
1.7,0.8,5.2,Iniciante
6.3,3.4,8.2,Iniciante
7.5,6.7,2.2,Iniciante
2.0,0.2,2.4,Iniciante
4.8,8.5,0.7,Iniciante
4.1,6.3,1.9,Iniciante
7.0,4.9,2.4,Iniciante
6.6,0.1,7.5,Iniciante
7.7,1.1,4.3,Iniciante
1.8,9.6,5.2,Iniciante
0.5,2.5,8.5,Iniciante
4.6,8.0,6.7,Iniciante
9.9,6.0,9.5,Intermediario
8.9,6.1,7.2,Intermediario
5.0,8.3,5.5,Intermediario
9.0,7.4,4.7,Iniciante
2.6,2.5,6.4,Iniciante
7.7,5.2,6.3,Intermediario
2.7,0.8,2.9,Iniciante
2.7,3.2,5.4,Iniciante
1.4,2.3,6.9,Iniciante
7.1,0.6,4.1,Iniciante
5.4,4.2,2.1,Iniciante
4.2,9.0,5.8,Iniciante
7.0,8.6,7.7,Intermediario
3.8,0.1,3.5,Iniciante
7.5,8.5,9.5,Intermediario
4.2,7.5,5.5,Iniciante
6.0,2.2,2.2,Iniciante
4.4,0.3,3.4,Iniciante
6.8,4.0,1.7,Iniciante
4.7,1.3,6.2,Iniciante
0.3,3.9,5.6,Iniciante
0.3,6.4,1.4,Iniciante
4.6,0.5,3.8,Iniciante
2.1,3.3,7.6,Iniciante
3.8,7.5,8.3,Iniciante
2.5,0.8,0.2,Iniciante
5.4,10.0,3.5,Iniciante
6.5,7.8,6.5,Intermediario
7.5,9.5,2.0,Iniciante
0.2,1.5,1.3,Iniciante
6.7,5.6,2.2,Iniciante
7.0,7.7,1.7,Iniciante
6.1,7.5,1.1,Iniciante
8.2,9.6,1.1,Iniciante
0.3,3.1,6.8,Iniciante
9.6,4.0,7.2,Iniciante
0.8,6.9,6.3,Iniciante
1.0,7.7,8.5,Iniciante
6.0,1.2,9.8,Iniciante
7.8,3.5,4.3,Iniciante
3.7,5.1,3.4,Iniciante
8.5,8.2,1.1,Iniciante
9.6,6.4,8.3,Intermediario
7.1,4.4,7.3,Iniciante
9.7,2.7,8.1,Iniciante
5.4,4.8,4.4,Iniciante
7.3,2.7,8.5,Iniciante
8.3,0.9,8.8,Iniciante
2.4,4.6,6.1,Iniciante
3.8,0.3,8.5,Iniciante
1.8,2.1,8.0,Iniciante
3.4,8.8,7.0,Iniciante
2.8,0.1,9.5,Iniciante
0.9,7.2,4.9,Iniciante
7.6,6.9,6.5,Intermediario
4.9,7.9,0.9,Iniciante
2.2,6.9,3.1,Iniciante
5.8,4.7,5.3,Iniciante
4.3,7.5,3.3,Iniciante
7.0,2.7,2.5,Iniciante
1.2,1.9,1.2,Iniciante
5.4,7.6,1.9,Iniciante
2.2,4.8,7.2,Iniciante
9.8,5.2,2.8,Iniciante
1.0,1.9,2.3,Iniciante
1.8,0.1,5.3,Iniciante
2.7,9.7,5.5,Iniciante
7.0,1.3,8.7,Iniciante
4.9,8.7,5.7,Iniciante
4.7,4.4,1.8,Iniciante
0.5,9.4,4.8,Iniciante
8.2,4.0,0.7,Iniciante
6.3,0.5,1.5,Iniciante
5.6,3.0,9.9,Iniciante
1.2,7.6,6.1,Iniciante
7.9,2.3,5.2,Iniciante
4.5,4.4,8.6,Iniciante
9.9,3.1,6.2,Iniciante
6.1,7.4,9.5,Intermediario
2.1,2.1,6.6,Iniciante
1.6,1.7,0.8,Iniciante
0.0,4.5,5.9,Iniciante
2.9,2.3,7.1,Iniciante
7.0,4.5,6.9,Iniciante
9.2,7.9,6.3,Intermediario
6.6,9.3,4.3,Iniciante
5.4,6.5,9.1,Intermediario
8.3,0.7,1.7,Iniciante
3.1,7.5,5.7,Iniciante
2.9,1.2,6.9,Iniciante
7.0,9.4,5.0,Intermediario
4.9,0.8,0.4,Iniciante
4.3,3.2,2.5,Iniciante
0.9,9.6,8.4,Iniciante
5.8,9.5,10.0,Intermediario
6.7,2.7,0.4,Iniciante
7.6,4.7,6.5,Iniciante
9.2,1.8,5.9,Iniciante
6.3,4.9,0.9,Iniciante
3.5,3.3,6.7,Iniciante
8.6,3.3,6.9,Iniciante
2.9,9.5,8.1,Iniciante
5.5,4.5,3.1,Iniciante
3.2,9.7,4.0,Iniciante
5.1,9.9,6.6,Intermediario
5.4,4.1,1.9,Iniciante
3.6,7.6,6.3,Iniciante
7.6,2.0,5.5,Iniciante
9.3,4.4,7.0,Iniciante
1.2,9.7,6.1,Iniciante
2.4,1.6,5.5,Iniciante
5.5,0.9,9.9,Iniciante
9.1,4.6,1.2,Iniciante
8.3,5.0,7.2,Intermediario
5.1,2.7,8.3,Iniciante
9.8,2.4,5.5,Iniciante
3.8,9.2,5.1,Iniciante
8.8,8.6,2.8,Iniciante
7.9,4.1,9.3,Iniciante
5.1,8.2,2.8,Iniciante
3.0,5.9,10.0,Iniciante
4.9,1.5,5.4,Iniciante
3.5,5.5,5.4,Iniciante
4.6,3.2,1.9,Iniciante
7.0,5.7,2.3,Iniciante
7.8,0.4,7.4,Iniciante
7.1,8.1,3.9,Iniciante
6.6,8.2,9.8,Intermediario
5.0,0.4,5.0,Iniciante
5.9,8.7,8.7,Intermediario
4.4,5.3,4.6,Iniciante
7.2,4.1,6.5,Iniciante
1.5,4.7,9.7,Iniciante
3.4,6.9,6.5,Iniciante
8.5,8.5,8.6,Avancado
3.8,3.2,7.2,Iniciante
7.6,8.7,0.4,Iniciante
0.7,6.3,9.2,Iniciante
10.0,7.5,4.3,Iniciante
1.0,6.3,8.7,Iniciante
4.4,6.9,9.0,Iniciante
0.5,8.0,2.9,Iniciante
3.7,1.5,5.3,Iniciante
5.7,7.9,1.7,Iniciante
0.8,8.7,6.2,Iniciante
2.4,9.1,1.4,Iniciante
4.6,2.5,2.6,Iniciante
0.1,8.0,9.0,Iniciante
6.8,1.6,4.4,Iniciante
3.5,5.9,6.4,Iniciante
4.2,2.5,8.5,Iniciante
2.0,3.8,4.8,Iniciante
2.4,5.7,5.7,Iniciante
9.9,3.0,9.8,Iniciante
6.6,2.7,5.7,Iniciante
6.9,7.4,0.5,Iniciante
6.1,5.0,9.0,Intermediario
2.9,8.0,6.1,Iniciante
3.5,6.4,6.2,Iniciante
6.8,7.2,6.6,Intermediario
8.4,6.3,9.0,Intermediario
6.5,3.1,4.4,Iniciante
5.8,7.3,0.9,Iniciante
3.0,7.5,1.8,Iniciante
1.3,5.4,9.7,Iniciante
5.3,9.1,8.3,Intermediario
2.6,8.2,4.8,Iniciante
8.1,7.5,3.4,Iniciante
1.2,9.6,1.4,Iniciante
9.7,8.6,7.2,Intermediario
9.8,9.7,8.0,Avancado
3.7,7.9,0.1,Iniciante
5.4,4.5,6.7,Iniciante
6.7,5.8,8.2,Intermediario
9.4,1.1,2.3,Iniciante
0.3,8.8,5.6,Iniciante
9.2,2.2,0.6,Iniciante
8.2,9.1,3.0,Iniciante
4.1,1.4,9.5,Iniciante
3.0,4.9,1.0,Iniciante
8.9,1.4,4.5,Iniciante
6.7,7.4,9.5,Intermediario
4.2,7.4,1.5,Iniciante
4.1,1.0,4.9,Iniciante
4.1,9.5,0.3,Iniciante
3.7,4.4,9.5,Iniciante
8.6,1.0,6.9,Iniciante
5.4,9.8,3.6,Iniciante
4.0,1.9,1.2,Iniciante
8.5,4.5,6.6,Iniciante
6.4,6.0,0.2,Iniciante
7.9,2.4,1.3,Iniciante
5.6,0.7,7.7,Iniciante
2.1,2.2,8.7,Iniciante
3.3,1.5,9.0,Iniciante
0.0,8.6,1.4,Iniciante
1.3,2.5,1.7,Iniciante
6.6,0.3,0.1,Iniciante
7.9,2.4,3.2,Iniciante
1.7,0.5,7.4,Iniciante
5.3,7.5,4.8,Iniciante
7.8,5.1,1.1,Iniciante
5.0,9.5,0.4,Iniciante
7.8,8.7,5.2,Intermediario
4.6,9.6,0.6,Iniciante
4.8,4.0,6.9,Iniciante
4.9,9.1,0.7,Iniciante
0.8,6.1,0.7,Iniciante
2.8,6.3,5.5,Iniciante
3.3,9.9,5.3,Iniciante
4.5,6.1,1.0,Iniciante
7.0,8.5,6.5,Intermediario
7.7,7.2,2.2,Iniciante
4.5,2.3,3.4,Iniciante
4.5,4.2,1.0,Iniciante
4.3,6.7,3.7,Iniciante
1.5,9.2,0.7,Iniciante
8.3,0.9,1.0,Iniciante
7.4,8.1,5.6,Intermediario
5.9,5.6,3.3,Iniciante
1.2,3.5,6.7,Iniciante
7.5,8.7,7.2,Intermediario
9.7,6.0,3.5,Iniciante
5.8,2.1,6.6,Iniciante
2.2,1.1,8.5,Iniciante
3.7,7.6,5.7,Iniciante
8.1,8.5,9.7,Avancado
8.2,6.1,6.4,Intermediario
0.3,9.3,8.3,Iniciante
2.7,1.8,7.0,Iniciante
3.1,3.4,0.1,Iniciante
8.7,5.7,4.0,Iniciante
1.4,6.3,0.3,Iniciante
7.5,2.2,4.2,Iniciante
3.4,3.7,7.2,Iniciante
7.8,5.7,0.8,Iniciante
0.5,1.6,6.2,Iniciante
6.7,2.7,6.6,Iniciante
4.9,4.4,2.7,Iniciante
7.5,1.1,4.3,Iniciante
2.8,6.8,4.9,Iniciante
6.7,0.5,4.0,Iniciante
6.0,0.1,3.0,Iniciante
2.1,1.4,2.6,Iniciante
3.3,0.1,7.5,Iniciante
1.8,3.8,7.0,Iniciante
5.0,8.3,8.1,Intermediario
0.7,8.6,0.4,Iniciante
0.2,9.2,8.6,Iniciante
5.8,5.7,7.1,Intermediario
4.2,1.2,0.2,Iniciante
3.2,8.0,6.2,Iniciante
8.3,9.2,0.9,Iniciante
8.4,2.4,5.9,Iniciante
5.2,4.0,3.1,Iniciante
3.4,3.3,1.7,Iniciante
5.1,1.1,5.1,Iniciante
9.1,3.5,7.3,Iniciante
8.2,8.2,2.4,Iniciante
1.5,2.0,6.0,Iniciante
7.6,6.6,1.8,Iniciante
7.7,4.9,7.5,Iniciante
7.6,4.5,9.2,Iniciante
5.6,6.4,6.2,Intermediario
8.6,6.3,1.5,Iniciante
0.7,4.4,3.0,Iniciante
2.7,0.6,5.1,Iniciante
3.1,4.5,0.6,Iniciante
8.3,0.8,8.6,Iniciante
8.6,6.2,5.1,Intermediario
4.6,5.5,7.9,Iniciante
9.0,4.5,8.1,Iniciante
6.5,3.2,4.8,Iniciante
1.5,0.6,1.0,Iniciante
9.0,3.4,7.1,Iniciante
5.0,1.7,2.5,Iniciante
4.4,4.4,5.2,Iniciante
1.6,3.7,2.8,Iniciante
4.1,3.4,6.0,Iniciante
7.9,6.5,0.7,Iniciante
0.9,6.8,2.8,Iniciante
7.2,6.6,9.1,Intermediario
8.7,3.3,5.8,Iniciante
1.4,3.5,9.7,Iniciante
7.0,3.9,6.0,Iniciante
9.4,3.1,3.8,Iniciante
7.9,8.1,6.7,Intermediario
8.3,7.4,6.9,Intermediario
5.3,6.5,4.2,Iniciante
3.6,3.6,1.8,Iniciante
2.1,9.5,4.9,Iniciante
2.3,1.4,0.8,Iniciante
8.4,1.0,7.7,Iniciante
8.4,8.8,0.4,Iniciante
3.4,7.7,1.3,Iniciante
3.8,1.6,8.3,Iniciante
7.7,8.1,1.7,Iniciante
4.4,4.1,6.8,Iniciante
2.4,4.4,2.8,Iniciante
7.5,4.5,5.3,Iniciante
3.1,8.1,4.7,Iniciante
8.4,3.7,9.5,Iniciante
9.8,4.6,2.8,Iniciante
3.8,5.3,9.7,Iniciante
8.2,8.0,1.4,Iniciante
2.5,6.4,8.7,Iniciante
5.5,1.0,8.5,Iniciante
8.5,2.9,7.6,Iniciante
2.7,9.1,1.5,Iniciante
4.4,9.5,2.2,Iniciante
4.5,3.5,0.3,Iniciante
0.5,5.0,2.4,Iniciante
9.9,3.7,0.3,Iniciante
9.3,8.4,6.5,Intermediario
7.9,1.4,2.9,Iniciante
8.3,7.0,1.4,Iniciante
7.1,4.5,0.1,Iniciante
0.8,2.6,8.3,Iniciante
5.5,7.3,5.3,Intermediario
1.1,2.9,3.0,Iniciante
0.5,4.2,7.9,Iniciante
4.6,1.1,9.1,Iniciante
6.0,0.2,5.2,Iniciante
2.4,1.4,4.3,Iniciante
6.1,2.4,4.2,Iniciante
6.6,0.9,9.7,Iniciante
0.7,5.3,5.1,Iniciante
9.9,5.5,3.9,Iniciante
4.7,6.4,9.8,Iniciante
2.5,0.2,7.9,Iniciante
3.4,7.3,6.3,Iniciante
7.7,7.4,3.3,Iniciante
0.4,5.5,8.1,Iniciante
1.8,7.8,4.6,Iniciante
7.0,6.3,8.1,Intermediario
0.6,7.8,4.6,Iniciante
2.9,0.4,2.0,Iniciante
0.4,9.3,5.2,Iniciante
9.9,5.4,2.5,Iniciante
7.5,1.9,3.6,Iniciante
7.8,8.7,3.3,Iniciante
1.2,3.7,8.9,Iniciante
7.4,8.9,3.9,Iniciante
9.7,5.0,5.0,Intermediario
9.2,5.2,8.0,Intermediario
7.3,0.8,6.0,Iniciante
8.2,5.5,3.2,Iniciante
0.8,6.6,3.1,Iniciante
6.0,4.3,6.9,Iniciante
3.5,0.4,8.7,Iniciante
3.5,10.0,2.7,Iniciante
9.8,9.5,0.8,Iniciante
6.4,3.6,8.0,Iniciante
